reghub_id,src_noa_actn_typ,rpt_noa_actn_typ,state_status,state_sub_status,slakeys_send_ts,keys_rio_ts,keys_uitid,db_updated_ts,reason_codes_str,reg_ranking,version
cftc_fc_mock_SC01_V1_17800010000000000000,NEWT,NEWT,ACK,DEAD_TRANS,2026-06-01 10:00:00.000000,2026-06-01 09:55:00,999001:SC01_VALUE_MISMATCH,2026-06-01 10:05:00.000000,,2,1
cftc_fc_mock_SC01_V2_17800020000000000000,MODI,MODI,ACK,DEAD_TRANS,2026-07-15 14:00:00.000000,2026-07-15 13:55:00,999001:SC01_VALUE_MISMATCH,2026-07-15 14:05:00.000000,,1,2
cftc_fc_mock_SC02_V1_17800010000000000000,NEWT,NEWT,ACK,DEAD_TRANS,2026-05-01 10:00:00.000000,2026-05-01 09:55:00,999002:SC02_FALSE_BREAK_TIMING,2026-05-01 10:05:00.000000,,3,1
cftc_fc_mock_SC02_V2_17800020000000000000,MODI,MODI,ACK,DEAD_TRANS,2026-06-15 14:00:00.000000,2026-06-15 13:55:00,999002:SC02_FALSE_BREAK_TIMING,2026-06-15 14:05:00.000000,,2,2
cftc_fc_mock_SC02_V3_17800030000000000000,MODI,MODI,ACK,DEAD_TRANS,2026-08-10 09:00:00.000000,2026-08-10 08:55:00,999002:SC02_FALSE_BREAK_TIMING,2026-08-10 09:05:00.000000,,1,3
cftc_fc_mock_SC03_V1_17800010000000000000,NEWT,NEWT,ACK,DEAD_TRANS,2026-05-01 10:00:00.000000,2026-05-01 09:55:00,999003:SC03_PENDING_NACK,2026-05-01 10:05:00.000000,,3,1
cftc_fc_mock_SC03_V2_17800020000000000000,MODI,MODI,ACK,DEAD_TRANS,2026-06-15 14:00:00.000000,2026-06-15 13:55:00,999003:SC03_PENDING_NACK,2026-06-15 14:05:00.000000,,2,2
cftc_fc_mock_SC03_V3_17800030000000000000,MODI,MODI,NACK,OPEN,2026-08-10 09:00:00.000000,2026-08-10 08:55:00,999003:SC03_PENDING_NACK,2026-08-10 09:05:00.000000,NOAR-AT-SFUL-0001-modi,1,3
cftc_fc_mock_SC04_V1_17800010000000000000,NEWT,NEWT,ACK,DEAD_TRANS,2026-05-01 10:00:00.000000,2026-05-01 09:55:00,999004:SC04_NON_REPORTABLE,2026-05-01 10:05:00.000000,,3,1
cftc_fc_mock_SC04_V2_17800020000000000000,MODI,MODI,ACK,DEAD_TRANS,2026-06-15 14:00:00.000000,2026-06-15 13:55:00,999004:SC04_NON_REPORTABLE,2026-06-15 14:05:00.000000,,2,2
cftc_fc_mock_SC04_V3_17800030000000000000,MODI,,NON_REPORTABLE,OPEN,,2026-08-10 08:55:00,999004:SC04_NON_REPORTABLE,2026-08-10 09:05:00.000000,cftc_ts_code_invalid_rptgPty,1,3
cftc_fc_mock_SC05_V1_17800010000000000000,NEWT,NEWT,ACK,DEAD_TRANS,2026-05-01 10:00:00.000000,2026-05-01 09:55:00,999005:SC05_MISSING_FROM_SRC,2026-05-01 10:05:00.000000,,2,1
cftc_fc_mock_SC05_V2_17800020000000000000,MODI,MODI,ACK,DEAD_TRANS,2026-06-15 14:00:00.000000,2026-06-15 13:55:00,999005:SC05_MISSING_FROM_SRC,2026-06-15 14:05:00.000000,,1,2
cftc_fc_mock_SC06_V1_17800010000000000000,NEWT,NEWT,ACK,DEAD_TRANS,2026-05-01 10:00:00.000000,2026-05-01 09:55:00,999006:SC06_OLYMPUS_ISSUE,2026-05-01 10:05:00.000000,,3,1
cftc_fc_mock_SC06_V2_17800020000000000000,MODI,MODI,ACK,DEAD_TRANS,2026-06-15 14:00:00.000000,2026-06-15 13:55:00,999006:SC06_OLYMPUS_ISSUE,2026-06-15 14:05:00.000000,,2,2
cftc_fc_mock_SC06_V3_17800030000000000000,MODI,MODI,ACK,DEAD_TRANS,2026-08-10 09:00:00.000000,2026-08-10 08:55:00,999006:SC06_OLYMPUS_ISSUE,2026-08-10 09:05:00.000000,,1,3
